STATEFIP,YEAR,QUARTER,industry,emp_weighted,total_emp,emp_share
25,2016,3,Utilities,111542.8106,10403660.377,0.01072149671923109
25,2016,3,Wholesale trade,177598.2994,10403660.377,0.017070751347537955
25,2016,4,Construction,613161.9369,10222168.0974,0.05998355055968579
25,2016,4,Education and health services,2672461.4352,10222168.0974,0.26143782901395823
25,2016,4,Financial activities,809629.5271,10222168.0974,0.0792033078878764
25,2016,4,Government,432870.0601,10222168.0974,0.042346208355749905
25,2016,4,Information,81031.7426,10222168.0974,0.007927060270179899
25,2016,4,Leisure and hospitality,142630.2373,10222168.0974,0.0139530318755253
25,2016,4,Manufacturing - Durable goods,643221.852,10222168.0974,0.06292420999842517
25,2016,4,Manufacturing - Nondurable goods,373364.6796,10222168.0974,0.036524999006322834
25,2016,4,Mining and logging,11375.2806,10222168.0974,0.0011128050812325512
25,2016,4,Other services,270251.093,10222168.0974,0.026437746907012626
25,2016,4,Professional and business services,1888466.9654,10222168.0974,0.1847423117489459
25,2016,4,Retail trade,1602800.6786,10222168.0974,0.15679654876812982
25,2016,4,Transportation and warehousing,417212.9534,10222168.0974,0.04081452676425051
25,2016,4,Utilities,101617.9044,10222168.0974,0.009940934587628864
25,2016,4,Wholesale trade,162071.7512,10222168.0974,0.01585492917507616
25,2017,1,Construction,649141.9616,10606820.1262,0.06120043084322216
25,2017,1,Education and health services,2841002.5752,10606820.1262,0.2678467760740483
25,2017,1,Financial activities,898702.7029,10606820.1262,0.08472875868613125
25,2017,1,Government,455416.2215,10606820.1262,0.04293616900083677
25,2017,1,Information,109501.63279999999,10606820.1262,0.010323700364213685
25,2017,1,Leisure and hospitality,151086.2097,10606820.1262,0.014244251142413608
25,2017,1,Manufacturing - Durable goods,658134.4718,10606820.1262,0.06204823537775816
25,2017,1,Manufacturing - Nondurable goods,330069.76,10606820.1262,0.03111863462119922
25,2017,1,Other services,275809.3978,10606820.1262,0.026003023952364455
25,2017,1,Professional and business services,1888885.6305,10606820.1262,0.17808217807278987
25,2017,1,Retail trade,1531380.7472,10606820.1262,0.14437698848284633
25,2017,1,Transportation and warehousing,489047.6448,10606820.1262,0.04610690470671781
25,2017,1,Utilities,117919.0532,10606820.1262,0.011117286028894476
25,2017,1,Wholesale trade,210722.1172,10606820.1262,0.019866662646563928
25,2017,2,Construction,719535.9374,10569655.4589,0.06807562840604486
25,2017,2,Education and health services,2678818.5129,10569655.4589,0.2534442606304963
25,2017,2,Financial activities,760302.2062,10569655.4589,0.07193254398465754
25,2017,2,Government,534579.8154,10569655.4589,0.05057684401149198
25,2017,2,Information,93911.56450000001,10569655.4589,0.008885016627568815
25,2017,2,Leisure and hospitality,213267.9313,10569655.4589,0.020177377789587392
25,2017,2,Manufacturing - Durable goods,528290.1622,10569655.4589,0.04998177700817695
25,2017,2,Manufacturing - Nondurable goods,313194.684,10569655.4589,0.029631494159658694
25,2017,2,Other services,303305.0073,10569655.4589,0.028695827265079594
25,2017,2,Professional and business services,1905775.3185,10569655.4589,0.18030628584920183
25,2017,2,Retail trade,1773431.2983,10569655.4589,0.16778515678169167
25,2017,2,Transportation and warehousing,437822.7439,10569655.4589,0.04142261264829959
25,2017,2,Utilities,96798.3661,10569655.4589,0.009158138264430613
25,2017,2,Wholesale trade,210621.9109,10569655.4589,0.019927036573614075
25,2017,3,Construction,731588.5567,10479684.916,0.06981016724873448
25,2017,3,Education and health services,2459504.1985,10479684.916,0.23469257121890363
25,2017,3,Financial activities,794807.1513,10479684.916,0.07584265726219665
25,2017,3,Government,464587.1177,10479684.916,0.044332164699979235
25,2017,3,Information,95777.3397,10479684.916,0.009139333908195147
25,2017,3,Leisure and hospitality,251950.5447,10479684.916,0.0240418053328427
25,2017,3,Manufacturing - Durable goods,545036.9218,10479684.916,0.0520089035279923
25,2017,3,Manufacturing - Nondurable goods,318964.8757,10479684.916,0.030436494823715174
25,2017,3,Mining and logging,7563.4216,10479684.916,0.0007217222331229105
25,2017,3,Other services,344174.8325,10479684.916,0.03284209737780632
25,2017,3,Professional and business services,2127501.1317,10479684.916,0.2030119367856002
25,2017,3,Retail trade,1689468.3575,10479684.916,0.16121365967029996
25,2017,3,Transportation and warehousing,385069.53369999997,10479684.916,0.03674438084603955
25,2017,3,Utilities,109805.6562,10479684.916,0.010477953972867328
25,2017,3,Wholesale trade,153885.2767,10479684.916,0.014684151091704444
25,2017,4,Construction,663545.1557,10334408.5786,0.06420736616452707
25,2017,4,Education and health services,2809993.2875,10334408.5786,0.27190654076894155
25,2017,4,Financial activities,688189.6407,10334408.5786,0.06659206818327952
25,2017,4,Government,411850.361,10334408.5786,0.03985233967358713
25,2017,4,Information,106389.1354,10334408.5786,0.010294651560448804
25,2017,4,Leisure and hospitality,224487.28830000001,10334408.5786,0.021722315949928434
25,2017,4,Manufacturing - Durable goods,593119.4889,10334408.5786,0.05739268816293982
25,2017,4,Manufacturing - Nondurable goods,380739.4158,10334408.5786,0.03684191629392484
25,2017,4,Mining and logging,2447.1587,10334408.5786,0.00023679716951267624
25,2017,4,Other services,252894.2908,10334408.5786,0.02447109468109103
25,2017,4,Professional and business services,1928929.8932,10334408.5786,0.1866512126484273
25,2017,4,Retail trade,1509451.302,10334408.5786,0.1460607339568226
25,2017,4,Transportation and warehousing,459458.6059,10334408.5786,0.04445910981799432
25,2017,4,Utilities,137162.1472,10334408.5786,0.013272375110466295
25,2017,4,Wholesale trade,165751.4075,10334408.5786,0.016038789858108582
25,2018,1,Construction,642989.2842,10795900.963,0.05955864975083321
25,2018,1,Education and health services,3145414.5922,10795900.963,0.29135267199838616
25,2018,1,Financial activities,843899.9489,10795900.963,0.07816855228593116
25,2018,1,Government,400202.8691,10795900.963,0.037069890736455065
25,2018,1,Information,124189.4406,10795900.963,0.011503388279090867
25,2018,1,Leisure and hospitality,207555.3646,10795900.963,0.01922538612676601
25,2018,1,Manufacturing - Durable goods,576923.4398,10795900.963,0.05343911932660808
25,2018,1,Manufacturing - Nondurable goods,388782.2334,10795900.963,0.03601202296431256
25,2018,1,Other services,295503.2851,10795900.963,0.027371803994197124
25,2018,1,Professional and business services,1880716.7938,10795900.963,0.1742065623096806
25,2018,1,Retail trade,1589405.2352,10795900.963,0.14722302850380456
25,2018,1,Transportation and warehousing,418970.138,10795900.963,0.03880826060149177
25,2018,1,Utilities,124380.7525,10795900.963,0.01152110906966274
25,2018,1,Wholesale trade,156967.5856,10795900.963,0.01453955405278017
25,2018,2,Construction,746719.9358,11086738.140800001,0.0673525365456244
25,2018,2,Education and health services,2871078.4495,11086738.140800001,0.25896511787666593
25,2018,2,Financial activities,730749.4931,11086738.140800001,0.06591203686959908
25,2018,2,Government,443298.0107,11086738.140800001,0.03998452972102147
25,2018,2,Information,107732.2652,11086738.140800001,0.009717219242649688
25,2018,2,Leisure and hospitality,277291.9084,11086738.140800001,0.02501113536537367
25,2018,2,Manufacturing - Durable goods,606944.3353,11086738.140800001,0.05474507718969215
25,2018,2,Manufacturing - Nondurable goods,441773.8665,11086738.140800001,0.039847055183367244
25,2018,2,Mining and logging,5963.5602,11086738.140800001,0.0005379003386084916
25,2018,2,Other services,363725.113,11086738.140800001,0.03280722502694144
25,2018,2,Professional and business services,1927443.8651,11086738.140800001,0.1738513023958658
25,2018,2,Retail trade,1801652.6765,11086738.140800001,0.16250520699770002
25,2018,2,Transportation and warehousing,416591.7215,11086738.140800001,0.037575679718357576
25,2018,2,Utilities,113917.8324,11086738.140800001,0.010275144136468246
25,2018,2,Wholesale trade,231855.1076,11086738.140800001,0.020912833392064737
25,2018,3,Construction,795277.2892,10998519.3201,0.07230766851921748
