OCC2010,abstract,routine,manual,rti
3060,3.716363636363636,2.5931818181818183,2.798636363636364,-1.372023721364162
3110,3.758333333333333,2.615,2.68,-1.3547786213249076
3120,3.58,2.2350000000000003,3.165,-1.623274627943216
3140,3.8366666666666656,1.82,2.655,-1.7222120876708795
3150,3.7300000000000004,1.6800000000000002,2.6325000000000003,-1.7686577467625506
3160,3.723333333333333,2.45,2.695,-1.4099295042173243
3200,3.536666666666666,4.24,3.765,-1.1443692559657723
3210,3.4599999999999995,1.935,2.68,-1.5669780571106526
3220,3.44,2.795,3.245,-1.384754714934298
3230,3.983333333333333,2.045,1.99,-1.354855838951046
3235,3.803333333333333,2.18,2.1100000000000003,-1.3032409458928522
3245,3.8866666666666667,1.9718333333333333,2.593166666666667,-1.645366296634369
3250,3.486666666666667,2.405,2.825,-1.409904631009347
3255,3.936,2.462,2.431,-1.3486703233959658
3256,3.9666666666666655,3.0,3.2300000000000004,-1.4517959600158294
3257,3.84,2.09,2.585,-1.5580338085833083
3258,3.9866666666666655,2.33,2.475,-1.44332758829742
3260,3.8065000000000007,2.3305,2.6385000000000005,-1.4726832255596558
3300,3.147777777777778,3.4650000000000003,3.0066666666666664,-0.995050348870735
3310,3.2764,2.9994000000000005,2.9338,-1.1660960671398692
3320,3.3672222222222223,3.359166666666667,3.1825,-1.1524497516025398
3400,3.2764,2.9994000000000005,2.9338,-1.1660960671398692
3420,3.151666666666667,2.606666666666667,2.864166666666667,-1.2442147892824142
3500,3.3366666666666664,2.835,2.65,-1.1374900074774348
3510,3.2764,2.9994000000000005,2.9338,-1.1660960671398692
3520,3.803333333333333,2.9,2.665,-1.251371195831254
3535,3.354,2.5330000000000004,2.742,-1.2826502273307818
3540,3.555,2.21625,2.3937500000000003,-1.303724645457108
3600,3.1293333333333333,2.69,2.861,-1.1991777226545193
3610,3.6966666666666654,2.4825,2.47,-1.3088382404253462
3620,3.3400000000000003,2.1175,2.745,-1.464458279419351
3630,3.013333333333333,2.155,2.345,-1.1875415640785068
3640,3.236666666666667,2.975,3.25,-1.2629549509791769
3645,3.653333333333333,2.545,2.675,-1.3454587231972432
3646,2.7099999999999995,3.21,2.73,-0.8349793069465533
3647,3.0400000000000005,2.87,3.05,-1.172687076265921
3648,3.31,2.56,3.055,-1.373720523521059
3649,3.3233333333333337,3.365,3.295,-1.1799465001634168
3700,3.4933333333333336,2.37,2.735,-1.3940978709516911
3710,3.71,2.325,3.715,-1.7796905157497465
3720,3.626666666666667,2.375,3.835,-1.767485950092302
3730,3.1533333333333338,2.425,3.0,-1.3612408586743403
3740,3.28,2.625,4.065,-1.6251762693522394
3750,3.415,2.4775,3.445,-1.5581640504027292
3800,3.215,2.48,3.0825,-1.3959999518132964
3820,3.8044444444444445,2.441666666666667,2.8716666666666666,-1.4704375063829402
3830,3.56,1.95,3.965,-1.979437027375095
3840,3.3666666666666667,3.1950000000000003,4.525,-1.561953624501495
3850,3.6416666666666666,2.7350000000000003,3.6025,-1.568477566999782
3860,3.5733333333333337,2.53,3.64,-1.6372632458837668
3900,3.6366666666666663,2.345,4.075,-1.8436528559714531
3910,3.6633333333333336,2.42,3.0650000000000004,-1.534653508967
3930,3.695,3.405,3.125,-1.2213261616205393
3940,2.44,1.61,2.89,-1.4770203624330795
3945,2.74,3.29,2.945,-0.8971791727262481
4000,3.1666666666666665,2.875,3.52,-1.3550878252990772
4010,3.28,2.7,2.79,-1.2206332452190432
4020,2.49,2.314,2.832,-1.0894745068047338
4030,2.083333333333333,2.72,2.865,-0.7859056449389975
4040,2.806666666666666,2.125,2.795,-1.3060578438168078
4050,2.306666666666666,2.6900000000000004,2.6625,-0.8080628639299947
4060,2.306666666666666,2.6900000000000004,2.6625,-0.8080628639299947
4110,2.5733333333333333,2.145,2.545,-1.1161931729910808
4120,2.78,3.11,2.915,-0.9576980213138584
4130,2.64,1.955,3.17,-1.454120311610085
4140,2.1633333333333336,2.285,2.965,-1.0321612501514097
4150,2.313333333333333,1.97,2.38,-1.0277564307840894
4160,2.3722222222222222,2.07,2.8383333333333334,-1.1713459975151947
4200,3.44,2.935,2.9000000000000004,-1.2234747550976757
4210,3.3766666666666665,2.81,4.2,-1.6187890715361506
4230,2.393333333333333,2.27,2.785,-1.0771551362779592
4240,3.0,2.645,4.165,-1.5526574989766533
4250,2.75,2.78,4.073333333333333,-1.392693927627774
4300,2.563333333333333,3.395,2.145,-0.4821442862187638
4320,3.2433333333333336,2.405,2.4,-1.174520441325979
4340,3.3633333333333333,1.815,2.85,-1.6641660722611529
4350,3.0,2.115,2.93,-1.4245598991988442
4400,2.173333333333333,3.0875,2.8075,-0.6836527709125229
4410,1.94,2.655,2.305,-0.5213239948299465
4420,2.21,2.395,2.1,-0.6615466293961602
4430,2.7422222222222223,2.3,2.8966666666666665,-1.21035572441403
4465,3.303333333333333,2.245,3.3,-1.580149006952004
4500,2.8633333333333333,2.26,3.205,-1.4013337244164932
4510,3.4,2.55,3.6,-1.5686159179138452
4520,2.735,2.11125,3.02625,-1.3662917759011963
4530,3.06,2.1625,2.8775,-1.3802258284923652
4540,3.0616666666666665,2.21,2.445,-1.2162489190067785
4600,2.8533333333333335,1.8475,2.4925,-1.3240760307382664
4610,3.2060000000000004,2.0699999999999994,2.382,-1.2914675746554356
4620,3.5716666666666668,2.2625,2.42,-1.336828869739564
4640,3.18,2.13,2.085,-1.1355280723215164
