onet_soc,abstract,routine,manual,rti
19-4051.00,3.11,3.12,3.315,-1.1952473480075774
19-4051.02,3.5366666666666666,2.54,2.71,-1.3279692178189464
19-4061.00,3.876666666666667,2.58,1.4449999999999998,-0.7752956004933328
19-4071.00,3.3733333333333335,2.95,4.065,-1.5365099478392554
19-4092.00,3.4566666666666666,2.345,3.0599999999999996,-1.5064342476393726
19-4099.01,3.2099999999999995,3.1899999999999995,2.985,-1.0998497671897367
19-4099.03,3.73,2.83,2.6999999999999997,-1.269383295010861
19-5011.00,3.9466666666666668,2.175,2.67,-1.5779211486592608
19-5012.00,3.76,2.63,2.76,-1.3726657909411883
21-1011.00,3.77,2.62,2.065,-1.0890309100999098
21-1012.00,3.7866666666666666,2.24,1.7650000000000001,-1.0931609491432073
21-1013.00,3.403333333333333,1.4849999999999999,1.24,-1.044451950870747
21-1014.00,4.016666666666667,1.6600000000000001,1.53,-1.3089025043044464
21-1015.00,3.516666666666667,2.3850000000000002,2.285,-1.2146804712598294
21-1021.00,3.5799999999999996,2.08,2.33,-1.3888631742769912
21-1022.00,3.42,1.7049999999999998,1.8699999999999999,-1.322013871205529
21-1023.00,3.796666666666667,2.165,1.78,-1.1383164916405217
21-1091.00,4.243333333333333,2.33,1.975,-1.2800492546766815
21-1092.00,3.3966666666666665,2.68,2.8600000000000003,-1.2877993888755195
21-1093.00,3.2899999999999996,2.435,2.0149999999999997,-1.0015600036413734
21-1094.00,4.023333333333333,2.11,2.795,-1.6732549055604178
21-2011.00,3.1266666666666665,1.935,1.6,-0.9498637771140142
21-2021.00,3.543333333333333,1.2850000000000001,1.835,-1.621353666845097
23-1011.00,4.006666666666667,1.955,1.525,-1.1395638570609976
23-1012.00,3.8699999999999997,2.25,1.815,-1.1384097585421755
23-1021.00,3.606666666666667,2.5949999999999998,2.315,-1.1686071556705713
23-1022.00,4.04,1.6,1.575,-1.3804963350049193
23-1023.00,3.473333333333333,2.1550000000000002,1.56,-0.9220098453628457
23-2011.00,3.2600000000000002,2.485,2.135,-1.0299211825106123
23-2093.00,3.513333333333333,2.75,2.14,-1.0057701718003869
25-1011.00,3.9000000000000004,1.83,1.56,-1.201346407543717
25-1021.00,4.176666666666667,1.68,1.6099999999999999,-1.3869538658210714
25-1022.00,3.72,1.765,1.8450000000000002,-1.3580522553922858
25-1031.00,4.033333333333334,1.81,2.0100000000000002,-1.499401040727836
25-1032.00,4.316666666666666,1.815,1.96,-1.5393425050030487
25-1041.00,4.043333333333333,1.785,2.3200000000000003,-1.6592182047344655
25-1042.00,4.413333333333334,1.645,1.98,-1.669986722329861
25-1043.00,4.6033333333333335,1.58,2.4699999999999998,-1.9735739823541012
25-1051.00,4.133333333333334,2.07,2.145,-1.4546751290455844
25-1052.00,4.006666666666667,2.085,1.665,-1.1630159086205942
25-1053.00,4.04,1.73,2.005,-1.5437673442219035
25-1054.00,4.383333333333334,1.74,1.8,-1.5117110216313452
25-1061.00,4.616666666666666,1.935,2.0,-1.5627127980434379
25-1062.00,4.010000000000001,1.385,1.44,-1.4277342152670855
25-1063.00,4.213333333333334,1.58,1.755,-1.5432981099295553
25-1064.00,4.5,1.685,1.81,-1.5756386782496836
25-1065.00,4.236666666666666,1.49,1.24,-1.2601120561928305
25-1066.00,4.253333333333333,2.0,1.585,-1.2151402160178326
25-1067.00,4.573333333333333,2.0949999999999998,1.5550000000000002,-1.222164325886726
25-1071.00,4.116666666666666,1.5899999999999999,1.8449999999999998,-1.5637890356662267
25-1072.00,4.153333333333333,2.265,2.315,-1.4457461532943974
25-1081.00,3.8766666666666665,2.27,2.2800000000000002,-1.3593712893355014
25-1082.00,4.513333333333333,1.53,1.7449999999999999,-1.6385227990660653
25-1111.00,4.0,2.035,1.545,-1.110822452575041
25-1112.00,4.233333333333333,1.435,1.505,-1.4906177537856906
25-1113.00,4.236666666666667,1.625,1.275,-1.2012151593619418
25-1121.00,3.9599999999999995,1.715,2.3899999999999997,-1.7081243105919048
25-1122.00,3.926666666666667,1.69,1.9100000000000001,-1.4901656026788874
25-1123.00,4.3133333333333335,1.83,1.645,-1.3551354177686505
25-1124.00,3.91,1.2349999999999999,1.645,-1.6502067881346694
25-1125.00,4.493333333333333,2.1,1.56,-1.2053432933481196
25-1126.00,4.076666666666667,1.81,1.4,-1.14842505237445
25-1192.00,3.4600000000000004,2.4450000000000003,1.91,-0.9943267082013361
25-1193.00,3.9033333333333338,1.92,1.505,-1.1182986011026652
25-1194.00,3.48,2.16,2.815,-1.5118863336819628
25-2011.00,2.6999999999999997,1.505,2.145,-1.3475984271894248
25-2012.00,3.5966666666666662,1.8650000000000002,1.975,-1.3373148358592397
25-2021.00,3.426666666666667,1.725,1.81,-1.2796877661533208
25-2022.00,4.126666666666666,2.115,1.9249999999999998,-1.3233411338298464
25-2023.00,3.8699999999999997,2.11,2.0949999999999998,-1.3461201129278162
25-2031.00,3.6799999999999997,1.69,1.95,-1.4460135958215128
25-2032.00,4.1066666666666665,2.395,2.7,-1.5324802115846687
25-2051.00,3.5033333333333334,1.7400000000000002,2.125,-1.4536015853706925
25-2056.00,3.6966666666666668,1.695,1.55,-1.2180037027929078
25-2057.00,3.24,2.0149999999999997,1.7349999999999999,-1.0259615478044144
25-2058.00,4.010000000000001,1.725,1.9449999999999998,-1.5088261679055646
25-2059.01,3.4933333333333336,1.645,2.31,-1.5903635305411534
25-3011.00,3.65,1.895,1.8699999999999999,-1.2814467599265056
25-3021.00,3.8066666666666666,2.085,2.355,-1.4585257877773707
25-3031.00,2.44,2.01,2.33,-1.0397315848117354
