STATEFIP,state_name,year,month,unemployment_rate,unemployment_total,employment_total,labor_force,population
1,Alabama,1991,11,7.1,136328.0,1794336.0,1930664.0,3129685.0
1,Alabama,1991,12,7.1,136711.0,1783596.0,1920307.0,3132498.0
1,Alabama,1992,1,8.0,152162.0,1759955.0,1912117.0,3134311.0
1,Alabama,1992,2,8.2,157567.0,1762877.0,1920444.0,3137124.0
1,Alabama,1992,3,7.5,144151.0,1780687.0,1924838.0,3139937.0
1,Alabama,1992,4,7.0,134846.0,1801607.0,1936453.0,3142750.0
1,Alabama,1992,5,7.1,138283.0,1812910.0,1951193.0,3145563.0
1,Alabama,1992,6,8.2,164402.0,1828884.0,1993286.0,3148377.0
1,Alabama,1992,7,7.9,158362.0,1843581.0,2001943.0,3151190.0
1,Alabama,1992,8,7.7,152735.0,1837943.0,1990678.0,3156004.0
1,Alabama,1992,9,7.3,143540.0,1830597.0,1974137.0,3159817.0
1,Alabama,1992,10,7.0,138617.0,1837154.0,1975771.0,3164631.0
1,Alabama,1992,11,7.2,142459.0,1840258.0,1982717.0,3168444.0
1,Alabama,1992,12,7.2,141742.0,1834582.0,1976324.0,3172258.0
1,Alabama,1993,1,8.1,159426.0,1799817.0,1959243.0,3176071.0
1,Alabama,1993,2,8.2,161850.0,1815618.0,1977468.0,3178885.0
1,Alabama,1993,3,7.4,147188.0,1834715.0,1981903.0,3182697.0
1,Alabama,1993,4,7.0,137502.0,1834620.0,1972122.0,3185511.0
1,Alabama,1993,5,6.9,137756.0,1857823.0,1995579.0,3189324.0
1,Alabama,1993,6,7.9,160220.0,1868895.0,2029115.0,3193139.0
1,Alabama,1993,7,7.6,154763.0,1873049.0,2027812.0,3196952.0
1,Alabama,1993,8,7.3,147814.0,1868548.0,2016362.0,3199766.0
1,Alabama,1993,9,6.9,137248.0,1856796.0,1994044.0,3203580.0
1,Alabama,1993,10,6.8,135863.0,1868086.0,2003949.0,3207393.0
1,Alabama,1993,11,6.5,130499.0,1874096.0,2004595.0,3210207.0
1,Alabama,1993,12,6.3,125654.0,1874166.0,1999820.0,3213020.0
1,Alabama,1994,1,7.3,145453.0,1850068.0,1995521.0,3215834.0
1,Alabama,1994,2,7.1,141556.0,1855452.0,1997008.0,3217648.0
1,Alabama,1994,3,6.4,128292.0,1868633.0,1996925.0,3220460.0
1,Alabama,1994,4,5.9,117886.0,1887356.0,2005242.0,3223274.0
1,Alabama,1994,5,5.6,113392.0,1910381.0,2023773.0,3226088.0
1,Alabama,1994,6,6.6,134621.0,1910772.0,2045393.0,3228902.0
1,Alabama,1994,7,6.4,130415.0,1921247.0,2051662.0,3231716.0
1,Alabama,1994,8,6.3,129890.0,1924997.0,2054887.0,3233530.0
1,Alabama,1994,9,5.9,119694.0,1922117.0,2041811.0,3236343.0
1,Alabama,1994,10,5.7,118186.0,1949091.0,2067277.0,3238157.0
1,Alabama,1994,11,5.6,116234.0,1949956.0,2066190.0,3239970.0
1,Alabama,1994,12,5.4,112027.0,1948899.0,2060926.0,3241784.0
1,Alabama,1995,1,6.6,134674.0,1911049.0,2045723.0,3243598.0
1,Alabama,1995,2,6.3,128861.0,1921177.0,2050038.0,3245411.0
1,Alabama,1995,3,5.8,119462.0,1931967.0,2051429.0,3246224.0
1,Alabama,1995,4,5.7,118082.0,1945387.0,2063469.0,3248038.0
1,Alabama,1995,5,5.6,114789.0,1944592.0,2059381.0,3249851.0
1,Alabama,1995,6,6.4,133672.0,1948257.0,2081929.0,3251666.0
1,Alabama,1995,7,6.1,127852.0,1960482.0,2088334.0,3253479.0
1,Alabama,1995,8,6.1,126952.0,1946716.0,2073668.0,3257294.0
1,Alabama,1995,9,5.8,118774.0,1941689.0,2060463.0,3260108.0
1,Alabama,1995,10,5.5,113837.0,1964344.0,2078181.0,3263922.0
1,Alabama,1995,11,5.3,110565.0,1963291.0,2073856.0,3266736.0
1,Alabama,1995,12,5.2,106511.0,1954845.0,2061356.0,3268549.0
1,Alabama,1996,1,5.7,117346.0,1923537.0,2040883.0,3271364.0
1,Alabama,1996,2,5.8,118156.0,1933570.0,2051726.0,3273177.0
1,Alabama,1996,3,5.3,109919.0,1953194.0,2063113.0,3275991.0
1,Alabama,1996,4,4.9,101384.0,1961779.0,2063163.0,3278805.0
1,Alabama,1996,5,5.0,102663.0,1970319.0,2072982.0,3281619.0
1,Alabama,1996,6,5.5,115842.0,1987087.0,2102929.0,3284434.0
1,Alabama,1996,7,5.4,115057.0,2003354.0,2118411.0,3287248.0
1,Alabama,1996,8,5.1,108233.0,1996496.0,2104729.0,3290063.0
1,Alabama,1996,9,5.0,104872.0,1993167.0,2098039.0,3291877.0
1,Alabama,1996,10,4.9,104203.0,2016228.0,2120431.0,3294691.0
1,Alabama,1996,11,4.9,104531.0,2011572.0,2116103.0,3297505.0
1,Alabama,1996,12,4.7,99458.0,2013840.0,2113298.0,3299319.0
1,Alabama,1997,1,5.6,116438.0,1978757.0,2095195.0,3301133.0
1,Alabama,1997,2,5.5,116349.0,1985971.0,2102320.0,3301947.0
1,Alabama,1997,3,5.1,107945.0,2009216.0,2117161.0,3303760.0
1,Alabama,1997,4,4.6,97705.0,2016185.0,2113890.0,3304573.0
1,Alabama,1997,5,4.6,96576.0,2023852.0,2120428.0,3306387.0
1,Alabama,1997,6,5.5,117596.0,2023958.0,2141554.0,3308202.0
1,Alabama,1997,7,5.2,111210.0,2036639.0,2147849.0,3310016.0
1,Alabama,1997,8,5.3,112577.0,2030191.0,2142768.0,3313831.0
1,Alabama,1997,9,4.9,104790.0,2026168.0,2130958.0,3317646.0
1,Alabama,1997,10,4.6,99489.0,2040977.0,2140466.0,3321460.0
1,Alabama,1997,11,4.3,92964.0,2052645.0,2145609.0,3324275.0
1,Alabama,1997,12,4.3,91137.0,2051321.0,2142458.0,3327089.0
1,Alabama,1998,1,4.9,104308.0,2016612.0,2120920.0,3329904.0
1,Alabama,1998,2,4.8,101258.0,2027779.0,2129037.0,3331718.0
1,Alabama,1998,3,4.4,94845.0,2041583.0,2136428.0,3334531.0
1,Alabama,1998,4,3.8,80231.0,2048422.0,2128653.0,3337346.0
1,Alabama,1998,5,3.9,84335.0,2051012.0,2135347.0,3340160.0
1,Alabama,1998,6,4.9,106127.0,2048640.0,2154767.0,3342976.0
1,Alabama,1998,7,4.8,102226.0,2049313.0,2151539.0,3345790.0
1,Alabama,1998,8,4.7,100236.0,2041994.0,2142230.0,3347605.0
1,Alabama,1998,9,4.5,97099.0,2039301.0,2136400.0,3349419.0
1,Alabama,1998,10,4.5,96917.0,2049254.0,2146171.0,3351233.0
1,Alabama,1998,11,4.3,92219.0,2051384.0,2143603.0,3353048.0
1,Alabama,1998,12,4.1,88934.0,2055148.0,2144082.0,3354862.0
1,Alabama,1999,1,4.9,104053.0,2030592.0,2134645.0,3355676.0
1,Alabama,1999,2,5.1,108133.0,2029693.0,2137826.0,3356490.0
1,Alabama,1999,3,4.5,96882.0,2045359.0,2142241.0,3357303.0
1,Alabama,1999,4,4.4,93719.0,2044296.0,2138015.0,3359117.0
1,Alabama,1999,5,4.3,91425.0,2054732.0,2146157.0,3360931.0
1,Alabama,1999,6,5.1,111536.0,2058066.0,2169602.0,3361747.0
1,Alabama,1999,7,5.0,108846.0,2055036.0,2163882.0,3363561.0
1,Alabama,1999,8,5.0,107931.0,2044665.0,2152596.0,3365375.0
1,Alabama,1999,9,4.8,103249.0,2039172.0,2142421.0,3367190.0
1,Alabama,1999,10,4.6,98979.0,2056347.0,2155326.0,3368003.0
1,Alabama,1999,11,4.5,97598.0,2058737.0,2156335.0,3369818.0
1,Alabama,1999,12,4.4,95661.0,2058876.0,2154537.0,3370632.0
1,Alabama,2000,1,5.1,110277.0,2035000.0,2145277.0,3371446.0
1,Alabama,2000,2,5.1,109036.0,2043574.0,2152610.0,3372260.0
1,Alabama,2000,3,4.7,100021.0,2048299.0,2148320.0,3373074.0
