STATEFIP,YEAR,bartik_shock
9,2001,0.00011547722599019152
9,2002,-0.011838925510968873
9,2003,-0.001937587849626873
9,2004,0.012405177781578024
9,2005,0.018441632818246602
9,2006,0.019153932260235325
9,2007,0.010144208268277891
9,2008,-0.00799775450668026
9,2009,-0.05029119173214407
9,2010,-0.007568957060710311
9,2011,0.016031352964722623
9,2012,0.019663307353745333
9,2013,0.017803827202514687
9,2014,0.02034256389542248
9,2015,0.023380312683685907
9,2016,0.018855150270560696
9,2017,0.017015407661820563
9,2018,0.01699406710916691
9,2019,0.014280943401796463
9,2020,-0.042376972598811104
9,2021,0.027195743965383767
9,2022,0.03756200875260198
9,2023,0.019331017121711796
9,2024,0.010380102249090334
9,2025,0.006048925474962602
10,1978,0.04949645616712266
10,1979,0.03549038599878918
10,1980,0.0070955443073955245
10,1981,0.011034661555915839
10,1982,-0.014836791056111165
10,1983,0.012276641104903702
10,1984,0.05091763656245645
10,1985,0.03440201530174842
10,1986,0.023492319141425584
10,1987,0.029341079423835025
10,1988,0.03279298520679797
10,1989,0.02636877236777753
10,1990,0.011693864952087681
10,1991,-0.011468558144764112
10,1992,0.002884623612390548
10,1993,0.022242484355718458
10,1994,0.033873045650450045
10,1995,0.026622413741084865
10,1996,0.021198486017067378
10,1997,0.02792285600452601
10,1998,0.027916459341822516
10,1999,0.025534989743070603
10,2000,0.019372841319584496
10,2001,0.00022237549109719787
10,2002,-0.010224952088106627
10,2003,-0.0006324646562826113
10,2004,0.011481081795233624
10,2005,0.01833154545047336
10,2006,0.019038987306046255
10,2007,0.009784840375850173
10,2008,-0.008278697081763736
10,2009,-0.046950081843634466
10,2010,-0.008528257199928408
10,2011,0.012736332660757464
10,2012,0.01753418481757755
10,2013,0.017448938828949653
10,2014,0.01967792360715521
10,2015,0.023027728708352842
10,2016,0.020525441803976543
10,2017,0.016901927735476246
10,2018,0.01621654846608716
10,2019,0.013294304747760246
10,2020,-0.03926398263462256
10,2021,0.02714923775937156
10,2022,0.036204243867760645
10,2023,0.018712921369642272
10,2024,0.012347420534964472
10,2025,0.006137099384973074
11,1978,0.05199313853470713
11,1979,0.038578288929250144
11,1980,0.021045821023035146
11,1981,0.015076112050994014
11,1982,-0.001566742727050287
11,1983,0.016589142288740453
11,1984,0.044278921114530655
11,1985,0.040967728767156916
11,1986,0.03166591850397459
11,1987,0.03444395196629073
11,1988,0.03810785538940111
11,1989,0.03348895453316829
11,1990,0.02152699789075813
11,1991,-0.0016590180582471618
11,1992,0.011526269808071287
11,1993,0.027191307060591394
11,1994,0.03552271159196248
11,1995,0.030928507512600355
11,1996,0.026088647411176183
11,1997,0.0322163526528863
11,1998,0.031420909558510526
11,1999,0.03208160845063453
11,2000,0.026124322770044527
11,2001,0.006856250474244594
11,2002,-0.003262983448988581
11,2003,0.0039289127253073226
11,2004,0.015065430501676327
11,2005,0.02089217065577624
11,2006,0.02176074076626856
11,2007,0.015282909188482383
11,2008,-0.001547168625713182
11,2009,-0.036464588401016136
11,2010,-0.001094875762197825
11,2011,0.01440935596844899
11,2012,0.017824925713283157
11,2013,0.017483746649151328
11,2014,0.018797213824603073
11,2015,0.02249134969899306
11,2016,0.020181433630215243
11,2017,0.016906243958850074
11,2018,0.01609284643377879
11,2019,0.013941774007026633
