STATEFIP,YEAR,mean_routine,mean_abstract,mean_manual,total_emp
46,1997,2.737069035025582,2.9254091329845684,3.1277963299769245,2933104.2207
46,1998,2.7305851686539313,2.9217714020070327,3.1244594580325207,3052914.5874000005
46,1999,2.752424555888508,2.9331812263768526,3.116986225795489,2959807.7829
46,2000,2.7462956184193685,2.936070115715702,3.10706941535073,2970645.5505
46,2001,2.7429309259932135,2.945575434780231,3.083615847200065,2955388.7623
46,2002,2.7452120139072265,2.9494629679142648,3.1130482692323884,3156586.7351
46,2003,2.7588883290724935,2.973924066885698,3.091246891018187,3212804.6130999997
46,2004,2.737832811856676,2.952899095608456,3.0628690565182604,3229055.1226
46,2005,2.7468519992396434,2.9546571323001243,3.1022664007370997,3163889.3589
46,2006,2.7464352996640806,2.9698969704275875,3.1234308320920046,3261287.5900999997
46,2007,2.7691282620502418,2.961636647372065,3.1172698414721576,3244588.9153000005
46,2008,2.765895207340862,2.9597445779191176,3.1256802054800574,3288360.0302
46,2009,2.7414933226112943,2.9533017238215686,3.092187885520287,3170887.7915999996
46,2010,2.752434873851548,2.9585769418879435,3.1148354714790183,3147823.2016
46,2011,2.777812937613301,2.9447186970409187,3.139284706222864,3165884.0453
46,2012,2.7681601422804367,2.9510450243876667,3.1473100416874202,3178223.7706
46,2013,2.7694800271491746,2.9617212205117376,3.1308934286675356,3177571.6489000004
46,2014,2.7804167961709103,2.9635710203644567,3.1637402911219854,3205367.1785999998
46,2015,2.7599240103889904,2.973127335626968,3.1367228347962293,3192313.5917
46,2016,2.7531212881421934,2.9579924225399354,3.142995959792226,3193436.4183
46,2017,2.77807787841772,2.9363990466570655,3.188377436331972,3240591.0735
46,2018,2.7711043868092387,2.9376188125780334,3.1721609337246712,3246020.7614
46,2019,2.7699286949290602,2.9451731468382696,3.181664638977529,3240631.8469000002
46,2020,2.7722187028091594,2.9600089384659403,3.1909741073829814,3198183.6126
46,2021,2.797485961484272,2.975987298118486,3.21603515660301,3234448.2402999997
46,2022,2.7764555225760303,2.9665779571344713,3.191489373092427,3357504.7966
46,2023,2.7806230404916716,2.9633340233904173,3.17947558017645,3411118.1281000003
46,2024,2.7763791709227936,2.9543393299954293,3.181702369028405,3322005.3228
46,2025,2.7562851038326697,2.9506587893712815,3.1665153445705063,2908493.9094000002
46,2026,2.772708063897304,2.9459504139383776,3.1333042710723595,565622.917
47,1976,2.8784749404672114,2.9127120550713914,3.3042331841063985,36123974.81
47,1977,2.880347451400942,2.9132841809780636,3.304415519431686,26021598.07
47,1978,2.8983522232849963,2.914068126493552,3.2838336409817006,15870396.940000001
47,1979,2.880783492851418,2.9148570876376763,3.287801748810579,16217626.649999999
47,1980,2.874519661571863,2.92968044806093,3.264227326673051,16335485.440000001
47,1981,2.877153216216687,2.9059053737896012,3.2558311154585216,15999256.82
47,1982,2.8511736222051995,2.916542384059589,3.228816215751597,15765208.879999999
47,1983,2.8458397395834854,2.9319979352938677,3.2172011155568776,17014134.11
47,1984,2.8503893293689653,2.9158983298307892,3.2073434973831416,17797090.47
47,1985,2.8578795625186744,2.9150061432394745,3.229922769010689,18032690.11
47,1986,2.8467477694376044,2.924729451606728,3.2135402273647813,18790670.74
47,1987,2.849211706716893,2.9419713747655423,3.2240393619016796,19062957.63
47,1988,2.8594215440081903,2.9386361701764048,3.2253242634157613,19478427.64
47,1989,2.8749522207710774,2.9339743309243063,3.227283666125955,19787585.22
47,1990,2.871658749936534,2.922157119823424,3.219392565585646,19382033.7
47,1991,2.8616991753415197,2.9238639128838204,3.219527334699711,19341241.369999997
47,1992,2.832681196641345,2.9252800188106542,3.181291911449496,19394239.090000004
47,1993,2.8528857229603566,2.9167350370849277,3.2136122951659623,20024313.9
47,1994,2.8662084764100477,2.9290029772585515,3.1998221514189757,21224754.5487
47,1995,2.8568617378367023,2.9570136847846116,3.190912186823496,21252490.6065
47,1996,2.8393598432883658,2.938835215191016,3.1817970261440434,21247623.996700004
47,1997,2.8376525325963553,2.937220733165947,3.216175676170511,20284397.2742
47,1998,2.834157913430155,2.9505845862474662,3.206682061646521,21236836.3168
47,1999,2.815475704718335,2.9707995555798665,3.1716195682609007,21451241.711400002
47,2000,2.824413054595696,2.9570021507690227,3.194662398112739,21140783.5263
47,2001,2.834506340677937,2.9558507019667632,3.2272446022658468,21752578.671800002
47,2002,2.820959659439631,2.9610448852747506,3.2035256978637694,21501056.8501
47,2003,2.8031062407140044,2.9931821466621966,3.162886918049092,21292189.678499997
47,2004,2.795264235694727,2.9684739702577767,3.1633582485481755,21372618.787100002
47,2005,2.8066702290110204,2.982920716921436,3.1912807316181437,21776976.6253
47,2006,2.8050009910351625,2.9822503472937805,3.1777522380892647,22950392.758100003
47,2007,2.791954288817982,2.9977297594388572,3.198782928082993,23655324.231799997
47,2008,2.779471013585365,2.9709458738096366,3.185892787987053,22387253.1004
47,2009,2.752722292339867,2.9860183548775177,3.15511824614646,20463204.542
47,2010,2.758524602505496,2.971458504040829,3.14351641862041,21533880.891000003
47,2011,2.786262198918476,2.9724003773604757,3.147168338196913,21783980.9326
47,2012,2.804938609930475,2.9605927911128043,3.192761269378665,21679598.1674
47,2013,2.7828436923235165,2.9794168910252345,3.17155342688049,21389071.439999998
47,2014,2.7695910375034196,2.96546057321368,3.1488232010992245,21614601.043700002
47,2015,2.7791031726306215,2.9668862239911338,3.167654592823639,21359511.752899997
47,2016,2.7636311572996703,2.9618628916691216,3.1823191282909353,22176689.4376
47,2017,2.7744211551063858,2.9772767332548673,3.18065901314321,22791492.3202
47,2018,2.7674812833413154,2.9990808909657143,3.170420987542611,23042665.792400002
47,2019,2.7888113515077086,2.9897977089651993,3.1838932426671036,23507217.616400003
47,2020,2.7737208540969633,2.992245804538857,3.1795516417324468,21406868.088499997
47,2021,2.786762030790503,2.978264926360086,3.2125973290039567,22605469.8244
47,2022,2.793483736406848,2.9808821603858626,3.192250402751949,22562630.4287
47,2023,2.7856146784617004,3.001449226366358,3.2038776306264447,22621521.1879
47,2024,2.7956964835806226,3.022547795105311,3.211879450510909,22726704.1083
47,2025,2.7899137910136154,3.0150710928833537,3.1816666255674173,21554892.4917
47,2026,2.8171580727590304,3.0130812964179277,3.242051552008017,3780666.2838
